referenceDesignator,deployYear,rawFile,rawSerialNumber
RS03AXPS-SF03A-3C-PARADA301,2025,none,-99999
RS03AXPS-PC03A-06-VADCPB301,2025,none,-99999
RS01SBPS-SF01A-3D-SPKIRA101,2025,none,-99999
RS01SBPS-SF01A-3C-PARADA101,2025,none,-99999
RS01SBPS-SF01A-3C-PARADA101,2025,none,-99999
RS01SBPS-SF01A-3B-OPTAAD101,2025,none,-99999
RS01SBPS-PC01A-06-VADCPB101,2025,none,-99999
CE04OSPS-SF01B-3C-PARADA102,2025,none,-99999
