githubFile,instrument,calRepo_check,HITLstatus,HITLnotes,fileParse,serialNumber,duplicateCoeff,vendorMatch
ATAPL-58320-00016__20161027.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00006__20221118.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00011__20221118.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00020__20171023.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00005__20171023.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00017__20201120.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00018__20230626.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00005__20231126.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00002__20160302.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00022__20140618.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00008__20130117.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00016__20170302.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00002__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00015__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00012__20170302.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00017__20140112.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00019__20201120.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00015__20180910.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00012__20201120.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00017__20170302.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00016__20201120.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00006__20180910.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00019__20161123.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00007__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00019__20140112.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00011__20180910.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00004__20191009.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00017__20161027.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00021__20191009.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00013__20150318.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00014__20150318.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00007__20171023.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00010__20231207.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00010__20191009.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00008__20191009.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00017__20221118.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00010__20150318.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00014__20231207.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00003__20191009.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00001__20201118.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00011__20201120.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00016__20180910.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00012__20180910.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00015__20201120.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00002__20191009.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00009__20171023.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00011__20150318.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
