,referenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID,notes,matching_asset_ids,proportion_match,matching_mfg_sn,exact_SN_match,exact_assetID_match,any_match,HITL_match_notes
0,CE02SHBP-LJ01D-06-DOSTAD106,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/LJ01D/LJ01D_2026/DOSTAD106_2026/DOSTAD106_20260808_204358_predeploy.JPG,216,ATOSU-58320-00020,,['ATOSU-58320-00020'],,['216'],True,,True,
1,CE02SHBP-LJ01D-07-VEL3DC108,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/LJ01D/LJ01D_2026/VEL3DC108_2026/VEL3DC108_20260808_204308_predeploy.JPG,8167,ATAPL-69829-00003,,['ATOSU-69829-00003'],[0.5],['VEC-8167'],,,True,
2,CE02SHBP-LJ01D-09-PCO2WB103,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/LJ01D/LJ01D_2026/PCO2WB103_2026/PCO2WB103_20260808_204501_predeploy.JPG,C0080,ATOSU-70570-00002,,['ATOSU-70570-00002'],,['C0080'],True,,True,
3,CE02SHBP-LJ01D-10-PHSENH110,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/LJ01D/LJ01D_2026/PHSENH110_2026/PHSENH110_20260808_204144_predeploy.JPG,721-2107,ATAPL-91990-00004,,['ATAPL-91990-00004'],,['721-2107'],True,,True,
4,CE02SHBP-LJ01D-11-HYDBBA106,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/LJ01D/LJ01D_2026/HYDBBA106_2026/HYDBBA106_20260808_205033_predeploy.JPG,248,ATAPL-58324-00014,,['ATAPL-69943-00008'],,['248'],True,,True,
5,CE02SHBP-MJ01C-07-ZPLSCB101,2026,20260808_202046.JPG,190,,,"['ATAPL-58345-00002', 'ATAPL-58345-00003', 'ATAPL-78437-00005', 'ATAPL-78437-00006', 'ATAPL-78437-00007', 'ATAPL-78437-00008', 'ATAPL-78437-00009', 'ATAPL-78437-00010', 'ATOSU-69826-00002']","[0.6, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.6, 0.6]","['19003', 'SUBC19005', 'SUBC19006', 'SUBC19007', 'SUBC19034', 'SUBC19035', 'SUBC19008', 'SUBC19032', 'SUBC19033', 'SUBC19048', 'SUBC19014', 'SUBC19022', 'SUBC19011', 'SUBC19023', '19073', '19075']",,,True,
6,CE02SHBP-MJ01C-08-CAMDSB107,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1D/CAMDSB107/CAMDSB107_2026/CAMDSB107_20260809_104736_predeploy.JPG,20159,ATAPL-78437-0010B,,['ATAPL-78437-00010'],[0.56],['SUBC20159'],,,True,
7,CE04OSBP-LJ01C-05-ADCPSI103,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1C/LJ01C/LJ01C_2026/ADCPSI103_2026/ADCPSI103_20260809_185141_predeploy.JPG,21498,ATOSU-69825-00001,,['ATOSU-69825-00001'],,['21498'],True,,True,
8,CE04OSBP-LJ01C-06-DOSTAD108,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1C/LJ01C/LJ01C_2026/DOSTAD108_2026/DOSTAD108_20260808_200822_predeploy.JPG,133,ATOSU-58320-00021,,['ATOSU-58320-00021'],,['133'],True,,True,
9,CE04OSBP-LJ01C-07-VEL3DC107,2026,/Volumes/Data0/Archive/Images/Equipment_Photos/VISIONS26/PN1C/LJ01C/LJ01C_2026/VEL3DC107_2026/VEL3DC107_20260808_200850_predeploy.JPG,4940/8159,ATOSU-69829-00004,,['ATOSU-69829-00004'],"[0.5, 0.5]","['VEC-4940', 'VEC-8159']",,,True,
