verificationStatus,referenceDesignator,deployYear,deploymentSheetAssetID,rawFileVerification,imageVerification,calFileVerification,calibrationRequired,HITLstatus,HITLnotes,,
RAW_SN_POSSIBLE,RS03ASHS-MJ03B-10-CTDPFB304,2025,ATCWK-67627-00006,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-SF01A-4F-PCO2WA101,2025,ATAPL-58336-00003,NAN,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,RS01SBPS-SF01A-4A-NUTNRA101,2025,ATOSU-68020-00005,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,RS01SBPS-SF01A-3D-SPKIRA101,2025,ATAPL-58341-00004,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,RS01SBPS-SF01A-3C-PARADA101,2025,ATAPL-78452-00003,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,RS01SBPS-SF01A-3B-OPTAAD101,2025,ATOSU-58332-00008,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,RS01SBPS-SF01A-3A-FLORTD101,2025,ATOSU-58322-00008,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-SF01A-2A-DOFSTA102,2025,ATAPL-58694-00005,NAN,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,RS01SBPS-SF01A-2A-CTDPFA102,2025,ATAPL-66662-00008,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,RS01SBPS-PC01A-4C-FLORDD103,2025,ATAPL-58322-00002,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS01SBPS-PC01A-4A-DOSTAD103,2025,ATAPL-58320-00011,NAN,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,RS01SBPS-PC01A-4A-CTDPFA103,2025,ATAPL-66662-00009,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-SF01B-4F-PCO2WA102,2025,ATOSU-58336-00005,NAN,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,CE04OSPS-SF01B-4A-NUTNRA102,2025,ATOSU-68020-00008,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,CE04OSPS-SF01B-3D-SPKIRA102,2025,ATOSU-58341-00008,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
