sensorType,referenceDesignator,startTime,endTime,assetID,instrumentSN,githubCalibrationFile,vendorCalibrationFile
WILCOCK,RS03CCAL-MJ03F-07-AOABPA301,2019-07-05 18:51:00,2022-08-13T21:45:00,PIRSN-AOABPA-00001,"['1']",none,none
WILCOCK,RS03CCAL-MJ03F-07-AOABPA301,2024-09-01 18:44:00,nan,PIRSN-AOABPA-10001,"['1A']",none,none
WILCOCK,RS03CCAL-MJ03F-08-FETCHA301,2022-08-30 14:03:00,2024-08-12T02:39:00,PIRSN-FETCHA-00001,"['3404307-001']",none,none
WILCOCK,RS03CCAL-MJ03F-08-FETCHA301,2024-08-13 20:37:00,2024-09-02T03:15:00,PIRSN-FETCHA-00002,"['345541-001']",none,none
WILCOCK,RS03CCAL-MJ03F-08-SCTAAA301,2018-07-06 07:00:00,2021-08-27T18:49:00,PIRSN-SCTAAA-00001,"['1']",none,none
WILCOCK,RS03CCAL-MJ03F-09-SCPRAA301,2018-07-06 07:00:00,nan,PIRSN-SCPRAA-00001,"['1']",none,none
